Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,TimeControl,EndDate,Termination,Moves,Variant,SetUp,FEN,did_I_win,my_colour
Chess.com,2018.09.12,-,abcdave,budapestcafe,1/2-1/2,1398,1496,1/432000,2019.01.01,Game drawn by agreement,"1. e4 e5 2. Nf3 Nf6 3. Nc3 Bb4 4. Nxe5 d6 5. Nf3 Bxc3 6. dxc3 Nxe4 7. Qd4 Nf6 8.
Bc4 O-O 9. O-O Nc6 10. Qf4 Re8 11. Ng5 Be6 12. Nxe6 fxe6 13. Re1 Ne5 14. Qh4
Nxc4 15. Qxc4 d5 16. Qd4 Qe7 17. Bf4 c5 18. Qe5 Nd7 19. Qc7 b6 20. Bd6 Qd8 21.
Qc6 Rc8 22. Qb7 Ra8 23. b4 c4 24. a4 a5 25. Bc7 Qc8 26. Qc6 Kf7 27. Qd6 Re7 28.
Bxb6 axb4 29. cxb4 Nxb6 30. Qxb6 Rb7 31. Qd4 Rxb4 32. Qf4+ Kg8 33. Qd6 Rbxa4 34.
Rxa4 Rxa4 35. h3 Ra6 36. Qg3 Qf8 37. f4 Qf5 38. c3 Qg6 39. Qh4 Qf6 40. Qg4 Kf7
41. Qh5+ Ke7 42. Qxd5 Qxc3 43. Qb7+ Kf6 44. Qxa6 Qxe1+ 45. Kh2 c3 46. Qb5 h6 47.
Qa5 Qe3 48. Qc7 Kf5 49. Qf7+ Ke4 50. Qxe6+ Kd3 51. Qd5+ Ke2 52. Qa2+ Qd2 53.
Qa6+ Kd1 54. Qf1+ Kc2 55. Qf3 Kb2 56. Qb7+ Kc1 57. Qa6 Qxf4+ 1/2-1/2",,,,False,White
Chess.com,2020.07.25,-,AahilAbdullah,abcdave,0-1,1235,1464,1/172800,2020.08.08,abcdave won by resignation,"1. e4 c5 2. Nc3 e6 3. Bc4 Nc6 4. Nf3 a6 5. O-O b5 6. Be2 Nf6 7. d3 Be7 8. a3 O-O
9. d4 b4 10. axb4 cxb4 11. Na4 Nxe4 12. Nd2 Nxd2 13. Bxd2 Nxd4 14. b3 a5 15. Be3
Nxe2+ 16. Qxe2 Ba6 17. c4 bxc3 18. Qc2 Bxf1 19. Kxf1 d5 20. Rd1 Bf6 21. Bd4 Bxd4
22. Rxd4 Qf6 23. Qxc3 Rfc8 24. Qe3 Rc1+ 25. Ke2 Rac8 26. Rf4 R8c2+ 27. Kf3 Qg6
28. g3 Qh5+ 29. Rg4 f5 30. Qxe6+ Kh8 31. h3 fxg4+ 32. hxg4 Qh1+ 33. Kf4 Rxf2+
34. Kg5 h6+ 35. Kg6 Rf6+ 36. Qxf6 0-1",,,,True,Black
Chess.com,2020.11.19,-,JohnyBoy2015,abcdave,0-1,1264,1501,1/172800,2020.11.25,abcdave won by checkmate,"1. e4 e5 2. Bc4 Nf6 3. Nc3 Bc5 4. h3 O-O 5. d3 d6 6. Bg5 c6 7. Qf3 Nbd7 8. Qg3
Re8 9. Bh6 g6 10. O-O-O b5 11. Bb3 a5 12. a3 b4 13. Nb1 a4 14. Ba2 b3 15. cxb3
axb3 16. Bxb3 Qb6 17. Ba2 Bxf2 18. Qf3 Qc5+ 19. Nc3 Rb8 20. Rd2 Bxg1 21. Bg5 Bd4
22. Bxf6 Bxc3 23. bxc3 Qxc3+ 24. Kd1 Qxa3 25. Bxf7+ Kxf7 26. Bxe5+ Ke6 27. Ke2
Nxe5 28. Qf2 Ba6 29. Rf1 Bxd3+ 30. Rxd3 Qxd3+ 31. Ke1 Rb1# 0-1",,,,True,Black
Chess.com,2020.11.27,-,Juev,abcdave,0-1,1396,1552,1/172800,2020.12.06,abcdave won by resignation,"1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4 g4 5. Ne5 Nf6 6. Bc4 Qe7 7. d4 d6 8. Nxf7 d5
9. Bxd5 Nxd5 10. Nxh8 Qxe4+ 11. Qe2 Qxe2+ 12. Kxe2 Bg7 13. Re1 Bxh8 14. Nc3 Be6
15. Kd3 Kf7 16. Nxd5 Bxd5 17. Bxf4 Bxg2 18. Bg5 Nc6 19. c3 b5 20. d5 Bxd5 21.
Rf1+ Bf3 22. Rae1 Bf6 0-1",,,,True,Black
Chess.com,2020.12.06,-,abcdave,rileylungmus,1-0,1557,998,1/172800,2020.12.29,abcdave won by resignation,"1. e4 c5 2. Nf3 d6 3. d4 Nf6 4. Nc3 cxd4 5. Nxd4 e5 6. Nf3 Bg4 7. Bb5+ Nc6 8.
O-O Be7 9. Re1 O-O 10. Bg5 Qb6 11. a4 Rad8 12. Be3 Nd4 13. Ne2 Qc7 14. c3 Nxf3+
15. gxf3 Bxf3 16. Qd3 Bxe4 17. Qd2 a6 18. Bd3 d5 19. Bg5 Ng4 20. Bxe7 Qxe7 21.
h3 Qh4 22. Ng3 Bf3 23. Bf1 e4 24. hxg4 Qxg4 25. Be2 Bxe2 26. Rxe2 Rd6 27. Rxe4
Qg6 28. Rb4 b6 29. Re1 a5 30. Rb5 Rfd8 31. Qe3 Qc2 32. Qe8+ 1-0",,,,True,White
Chess.com,2020.12.29,-,komapc,abcdave,1-0,1727,1525,1/172800,2021.01.04,komapc won by resignation,"1. e4 e5 2. d4 exd4 3. c3 dxc3 4. Bc4 cxb2 5. Bxb2 d5 6. Bxd5 Qg5 7. Nf3 Qxg2 8.
Bxf7+ Kxf7 9. Rg1 Bb4+ 10. Nbd2 Bxd2+ 11. Qxd2 Qxf3 12. Rxg7+ Ke8 13. Qd5 Bg4
14. Qe5+ Kd8 15. Qxc7+ Ke8 16. Qe5+ Kd8 17. Qg5+ Ke8 18. Qxg4 Qxg4 19. Rxg4 Nh6
20. Rh4 Rg8 21. Rxh6 Rg4 22. f3 Rg1+ 23. Kf2 Rg5 24. Rxh7 Rb5 25. Bc1 Ra5 26.
Bf4 1-0",,,,False,Black
Chess.com,2021.01.04,-,abcdave,aerokoli5,1-0,1547,1270,1/172800,2021.01.05,abcdave won by checkmate,"1. e4 e5 2. Nf3 g5 3. d4 g4 4. Nxe5 Qh4 5. Nxg4 h5 6. h3 Nf6 7. Nxf6+ Ke7 8.
Nd5+ Kd6 9. Bf4+ Kc6 10. Nbc3 a5 11. Bb5# 1-0",,,,True,White
Chess.com,2021.01.05,-,abcdave,Guschess123,0-1,1480,1392,1/172800,2021.02.01,Guschess123 won by resignation,"1. e4 e5 2. Nf3 d6 3. d4 Bg4 4. Be2 Bxf3 5. Bxf3 Nc6 6. c3 exd4 7. cxd4 Nf6 8.
O-O Be7 9. Nc3 O-O 10. Bg5 Nd7 11. Bxe7 Nxe7 12. Re1 c6 13. Qb3 Rb8 14. Rad1 Kh8
15. d5 c5 16. Nb5 Qb6 17. Kh1 a6 18. Na3 Qa7 19. Nc4 Nc8 20. Bg4 Rd8 21. Qf3 Kg8
22. Bh5 Rf8 23. Qf4 Nf6 24. g4 Ne8 25. g5 g6 26. Bg4 b5 27. Na5 Qc7 28. Nc6 Ra8
29. e5 Na7 30. e6 Nxc6 31. exf7+ Rxf7 32. Be6 Ne5 33. h4 Kg7 34. Bxf7 Qxf7 35.
Qg3 Qb7 36. f4 Nc4 37. b3 Nb6 38. Qf3 Rd8 39. h5 Kh8 40. hxg6 hxg6 41. Qh3+ Qh7
42. Qh6 Nc8 43. Rd2 Qxh6+ 44. gxh6 Kh7 45. Rh2 Nf6 46. Rg1 Rg8 47. f5 g5 48. Re1
Ng4 49. Rh5 Nf2+ 50. Kg2 Nd3 51. Rf1 Nf4+ 52. Rxf4 gxf4+ 53. Kf3 Ne7 54. f6 Ng6
55. Kg4 c4 56. Rh3 Rf8 57. Kf5 f3 58. bxc4 bxc4 59. Ke4 Rxf6 60. Rxf3 Rxf3 61.
Kxf3 Ne5+ 62. Ke4 c3 63. Ke3 Kxh6 64. Ke2 Kg5 65. Kd1 c2+ 66. Kxc2 Kf4 67. Kb3
Ke4 68. Kb4 Kxd5 69. Ka5 Kc5 0-1",,,,False,White
Chess.com,2021.02.01,-,Xrv,abcdave,1-0,1509,1440,1/172800,2021.02.08,Xrv won by resignation,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. O-O Nf6 5. d3 O-O 6. c3 d6 7. d4 exd4 8. cxd4
Bb4 9. a3 Ba5 10. d5 Ne5 11. Nxe5 dxe5 12. Bd3 Bg4 13. f3 Bb6+ 14. Kh1 Bd7 15.
Bg5 Bd4 16. Nc3 Re8 17. Ne2 Bxb2 18. Ra2 Bd4 19. Nxd4 exd4 20. f4 c5 21. e5 h6
22. Bxf6 gxf6 23. Qh5 Kg7 24. Re2 fxe5 25. fxe5 Qe7 26. Ref2 Rf8 27. Rf6 1-0",,,,False,Black
Chess.com,2021.02.08,-,abcdave,SpekmeisterT,0-1,1406,1503,1/172800,2021.02.14,SpekmeisterT won by resignation,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 Bc5 5. c3 O-O 6. O-O d5 7. h3 dxe4 8. Bxc6
bxc6 9. Nxe5 exd3 10. Nxd3 Bb6 11. Bg5 Ba6 12. Bxf6 Qxf6 13. Na3 Rad8 14. c4 Qf5
15. Qa4 Rxd3 16. Qxa6 Rd2 17. Kh1 Rxf2 18. Rxf2 Qxf2 19. c5 Qxc5 20. Nc4 Re8 21.
Nxb6 Qxb6 22. Qd3 Qxb2 23. Rd1 Qe5 24. Qd8 h6 25. Qd7 Qe2 26. Rd2 Qf1+ 27. Kh2
Qf4+ 28. g3 Qe3 29. Rc2 Qe1 30. Qxc7 Re2+ 31. Rxe2 Qxe2+ 32. Kg1 Qxa2 33. Qxc6
a5 34. Qe8+ Kh7 35. Qe4+ g6 36. Kf1 a4 0-1",,,,False,White
